"sampleID","tubeLabel","plateID","sampleType","CDCA","GCDCA","TCDCA","UDCA","GUDCA","TUDCA","DCA","GDCA","LCA","GLCA","TLCA","CA","GCA","TCA","TDCA"
"SRV00230","1610-26","SRVp008","sample",374.3951739725,2435.172282632,396.013042971,33.5227457811,149.5264980422,11.7222011972,548.9914483695,1096.4456863574,12.9093345476,18.7968876078,10.2348835893,304.8777143149,664.2326019054,126.9038169913,264.5596109977
"SRV00283","1633-18","SRVp008","sample",35.3898166052,1855.215654998,289.1274102871,3.2835240321,122.683812823,13.7780119753,53.7450208918,274.1651182005,6.9858048468,7.1857933842,2.5878175916,27.9673285637,525.2241760551,62.2823105824,51.145392255
"SRV00339","1649-23","SRVp008","sample",4060.4252352615,858.309307368,207.3060547524,138.2775339472,37.8596922982,6.1889091605,980.2767327976,176.0298116993,11.2458545097,16.8489256696,2.6454878565,3843.3014048526,288.0985415699,53.0072452342,46.3575139807
"SRV00350","1654-26","SRVp008","sample",1156.4092594946,344.020558671,76.9636144317,48.860593001,21.9208890677,3.8852131419,542.0637697149,80.3365678418,5.1143325246,0.7701892089,NA,962.2858331174,83.6455345776,12.4406153473,27.1797111431
"SRV00266","1630-2","SRVp008","sample",47.3749225181,174.3592341304,78.9240174227,NA,7.3937862007,3.5875937293,65.8728820364,41.0800070441,7.0168795784,4.181254538,1.7682220936,50.8383071203,77.9980575666,39.0874239411,23.8657948561
"SRV00208","1606-18","SRVp008","sample",1817.4176970985,3715.7204406658,384.0295766917,105.5537355554,197.346551283,17.6635977831,950.8346420281,1241.3053191457,17.4196488797,33.7145937976,3.8005024368,4500.2630943298,2007.1282225479,217.2546389286,152.2207779781
"SLTR#4",NA,"SRVp008","sltr",432.0895633574,1706.9572590699,280.3521229735,69.1271268732,171.2127665162,11.4173815742,332.5997103647,480.5895898118,8.3239209605,23.6981546261,4.4023849994,152.7683865315,387.2756810994,90.9885455908,98.555543235
"SRV00223","1609-18","SRVp008","sample",12.8148936963,496.2160728068,103.4411632429,NA,13.4055154023,7.4876199547,55.0653216235,155.3249393798,5.3451031312,5.4228438658,2.0818924007,19.2806329943,131.3555973651,23.8922984463,63.9327643317
"SRV00278","1632-18","SRVp008","sample",52.2141168315,531.7279713872,41.3520458063,6.822237572,58.6587927906,3.9005138103,375.8166715287,424.5629466417,7.8908577481,18.1949172849,2.9588811909,67.4784374712,133.6028167465,11.0865726162,54.6245814727
"QC01#105",NA,"SRVp008","qc",354.823884765,203.2492472133,429.0471321421,233.174487326,232.7995826683,468.174075789,226.3506513162,219.993688101,276.9517425134,216.5212522542,403.4171680613,115.6099224537,234.1543151495,393.0898445796,397.2054029095
"SRV00270","1630-26","SRVp008","sample",16.0410235562,255.7911836568,151.4866253739,NA,9.11588223,4.2512554713,14.1907942376,17.1692280912,3.2223392676,4.3529698254,0.9846798621,16.3518588208,146.6606558605,74.1234520128,33.5457263547
"SRV00210","1606-26","SRVp008","sample",846.9837412948,4467.9461498101,516.6529830374,56.1816223687,239.4000280977,18.5277666346,639.7621538873,1651.4129486667,13.1957770809,16.580963841,7.2998802248,1261.8262771686,2976.1990261693,308.7720089271,197.7343084894
"SRV00244","1617-23","SRVp008","sample",255.6257389112,1685.2447845539,261.368601212,32.2618630557,112.7449597585,9.6368452056,164.9048829307,298.4860925534,9.372514173,21.5791148131,2.3923047129,211.669983996,369.5074427583,56.1143590423,64.5035788271
"SRV00271","1631-2","SRVp008","sample",18.6800274794,384.6955239113,61.2335139986,NA,15.3318666083,3.1407941901,395.2416395268,415.5679121023,17.6513191721,8.7328279413,1.6197719177,35.5449799153,105.8880369037,21.2477872741,70.8163191838
"SRV00311","1643-2","SRVp008","sample",557.9980525136,1174.3397614361,86.7209815877,50.0981448626,127.5391943688,6.9735347414,228.9563034919,153.9651853052,5.6923799136,6.2300880981,1.1548075236,324.3351319222,212.9490214785,12.2626338949,13.5254156819
"SRV00306","1642-2","SRVp008","sample",123.9939906379,833.6577127123,121.7598402103,38.7347194294,144.9011468958,13.857265555,183.8181418607,287.8699579886,8.770115519,6.4774898434,2.1879282271,196.0283459265,263.3285777098,35.0267965081,47.6637988918
"SRV00288","1634-18","SRVp008","sample",140.6445539325,325.9695483692,31.2175430949,14.3038492477,24.9894967842,2.4876534857,201.6395601342,179.045704379,8.5026569044,6.9157173727,0.9990240573,229.131377291,114.5100273784,7.465437008,20.6202297171
"SRV00261","1629-2","SRVp008","sample",600.6583917873,4322.356858115,774.8404022768,33.2506285332,220.8334297758,16.5238464872,474.836428633,1776.5752023013,9.0554194321,22.7966832864,15.6406211054,26.2351849476,886.073961101,181.2090835196,435.3126565022
"SRV00285","1633-26","SRVp008","sample",136.0154000265,2836.2237231496,396.481821757,31.0737782978,180.8246171601,13.8683620204,208.9994823159,407.5761282644,4.4949529778,9.758423195,1.0687840769,80.2953093659,674.6498140641,90.5511463013,79.3156028681
"CAL8#1",NA,"SRVp009","cal",2.8202109538,10.7232969057,2.2252338826,2.520743416,2.453962225,2.3938877421,3.8299970444,2.3324637567,5.5777443854,2.8183951569,2.2184345326,2.5334658517,4.0946502027,3.6956313805,2.6251212415
"CAL7#1",NA,"SRVp009","cal",5.1713716,19.0108538779,5.7089920583,4.8505713853,4.6129159417,5.6379508815,5.7763526026,5.2096469367,5.4532881016,5.1956611657,5.7293751175,3.6480706228,5.2418877308,5.4460991528,4.571592978
"CAL6#1",NA,"SRVp009","cal",9.0174730889,45.0891226303,10.054669044,10.1471176436,10.3575230625,8.5865883046,9.1170679934,12.2804810835,10.7277236461,8.5287530979,9.7322250979,11.878334276,9.1405391722,9.5516737471,7.5899468416
"CAL5#1",NA,"SRVp009","cal",24.9747363846,91.2339273025,24.2827902701,25.0801895544,25.34779348,23.3148506357,24.8427397775,25.4145341969,23.908100492,24.7168537736,24.3453861004,22.2373633912,24.8954509465,25.0117970625,25.5556568945
"CAL4#1",NA,"SRVp009","cal",94.7399716413,385.9356429979,99.3036006826,102.3607360386,102.7983333542,98.3824724548,94.2570493294,98.5088508407,89.0443725554,101.5231341268,101.6148898569,92.8648581931,103.190900795,98.7093196678,99.6518668875
"CAL3#1",NA,"SRVp009","cal",246.5035509776,990.4403187569,251.8502055716,242.8167797763,255.5106056279,251.7000477081,242.5625767568,255.2915064957,242.6697752465,241.5195746677,252.1339716151,240.0348034567,249.5507197756,243.2699498033,257.0993463059
"CAL2#1",NA,"SRVp009","cal",494.2179285366,1901.5565644779,491.8181824896,504.07066832,504.7232538232,490.5649954573,513.0480751841,506.5062099412,500.9264288786,502.4529754284,498.3027069476,502.54672549,513.6581101223,486.956755773,495.4941622297
"CAL1#1",NA,"SRVp009","cal",1015.0547568174,4126.0102730509,1007.2563260011,1000.6531938658,986.6956124854,1010.5057951204,1000.3961383563,989.236787832,1017.2703110798,1005.7446525829,998.423010732,1015.4044493412,984.3223914576,1021.0544047936,997.502253463
"LTR#5",NA,"SRVp009","ltr",438.4972924005,1798.3124573973,287.9011330136,63.1559035035,177.3639175848,10.9911952685,311.4954812005,567.7824786343,7.1156918931,20.9340175179,4.7544197307,136.5240095321,408.9366847032,88.9599722377,97.6245676547
"SRV00331","1647-2","SRVp009","sample",228.6151142078,664.5394076867,51.3070642807,NA,29.7383774488,1.6108105698,906.5204494866,580.3867011066,25.803733976,40.4176617296,1.5250422837,118.5853644458,195.8592360322,17.7577958496,42.2222613897
